round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
57	5000000	3301857	186665	1511478	13879952	10175520	3162267	235477288	128744115	6572903	1.219407	7.652955	3.140786	5.643823	0.000000	6.974544	5.895832	1.078712	4.705834	29.795853	0.458504	22439395328	22439395328	22642229248	22642233344	22946865152	22974771200	23023087616	23023087616	23448920064	23448920064	23046266880	23046266880	23046266880	22996271104	23582990336	23582990336	23582990336	23582990336	23582990336	23582990336	23582990336	23582990336	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
58	5000000	3408581	169453	1421966	13259275	9119239	3072045	238549333	132152696	6742356	1.279906	7.567195	4.264439	3.899993	0.000000	5.843031	4.825564	1.017467	2.972916	26.173339	0.345860	22688190464	22688190464	22888632320	22888632320	23183491072	23212113920	23229247488	23229247488	23391608832	23391608832	23257391104	23257391104	23257391104	23209984000	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
59	4007196	2655057	104145	1247994	11497360	7618250	2616199	241165532	134807753	6846501	1.063393	6.126755	1.097484	3.421780	0.000000	4.890265	4.018906	0.871359	2.052922	18.933324	0.280725	22984515584	22984515584	23150501888	23150501888	23350226944	23372304384	23382679552	23382679552	23559139328	23559139328	23424921600	23424921600	23424921600	23312224256	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
60	2616199	1732951	47059	836189	7734969	5009951	1836452	243001984	136540704	6893560	0.826065	4.074351	2.060655	2.089665	0.000000	3.051651	2.447063	0.604588	1.278166	13.562261	0.181707	23083139072	23083139072	23259152384	23259152384	23316434944	23330672640	23394680832	23394680832	23467020288	23467020288	23399911424	23399911424	23399911424	23332798464	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
61	1836452	1204363	28921	603168	5591822	3549758	1374668	244376652	137745067	6922481	0.511839	2.972964	2.675247	1.718448	0.000000	2.290116	1.832676	0.457439	1.026169	11.317997	0.123215	23115968512	23115968512	23219838976	23219838976	23310299136	23320166400	23270039552	23270039552	23384559616	23384559616	23317450752	23317450752	23317450752	23272333312	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
62	1374668	873200	23841	477627	4350893	2738093	1062972	245439624	138618267	6946322	0.392440	2.238389	2.949206	1.254702	0.000000	1.659779	1.306940	0.352839	0.659605	9.254816	0.100695	23205220352	23205220352	23281627136	23281627136	23338160128	23345336320	23383957504	23383957504	23483371520	23483371520	23349149696	23349149696	23349149696	23349149696	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
63	1062972	711723	27867	323382	2947746	1912583	680743	246120367	139329990	6974189	0.263989	1.684805	3.161539	0.797430	0.000000	1.184428	0.952991	0.231437	0.474997	7.631511	0.064323	23203811328	23203811328	23252115456	23252115456	23276929024	23282843648	23321518080	23321518080	23303860224	23303860224	23299534848	23299534848	23299534848	23276867584	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
64	680743	463301	17751	199691	1740414	1193878	394009	246514376	139793291	6991940	0.177849	1.084947	3.315711	0.414386	0.000000	0.724533	0.585373	0.139160	0.214805	5.973092	0.040861	23243309056	23243309056	23280230400	23280230400	23280230400	23284080640	23322558464	23322558464	23279411200	23279411200	23275081728	23275081728	23275081728	23278231552	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
65	394009	285529	15750	92730	789397	574302	179300	246693676	140078820	7007690	0.085483	0.606270	3.311853	0.156045	0.000000	0.337740	0.272943	0.064797	0.087032	4.606263	0.021841	23244673024	23244673024	23244931072	23244931072	23244931072	23247339520	23267000320	23267000320	23267000320	23267000320	23267000320	23267000320	23267000320	23267000320	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
66	179300	134753	5885	38662	310612	245228	69765	246763441	140213573	7013575	0.034290	0.269635	3.429304	0.066793	0.000000	0.143630	0.118850	0.024780	0.023493	3.983865	0.016721	23267000320	23267000320	23267000320	23267000320	23267000320	23268126720	23287820288	23287820288	23287820288	23287820288	23287820288	23287820288	23287820288	23287820288	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
67	69765	53896	3721	12148	94813	78800	24330	246787771	140267469	7017296	0.010326	0.093078	3.413831	0.018079	0.000000	0.047828	0.039472	0.008356	0.007745	3.594534	0.003647	23218974720	23218974720	23218974720	23218974720	23218974720	23219433472	23244468224	23244468224	23244468224	23244468224	23244468224	23244468224	23244468224	23244468224	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
68	24330	19420	940	3970	29604	26348	7989	246795760	140286889	7018236	0.003762	0.032389	3.466027	0.005870	0.000000	0.014453	0.013137	0.001316	0.002494	3.526950	0.001956	23244468224	23244468224	23244468224	23244468224	23244468224	23244632064	23244632064	23244632064	23244632064	23244632064	23244632064	23244632064	23244632064	23244632064	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
69	7989	5625	636	1728	12178	11174	4419	246800179	140292514	7018872	0.001045	0.010638	3.425256	0.002067	0.000000	0.006473	0.005791	0.000682	0.001409	3.448330	0.001442	23244632064	23244632064	23244632064	23244632064	23244632064	23244681216	23244681216	23244681216	23244681216	23244681216	23244681216	23244681216	23244681216	23244681216	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
70	4419	3570	76	773	5624	5193	2031	246802210	140296084	7018948	0.000534	0.005438	3.416228	0.001193	0.000000	0.003301	0.002942	0.000359	0.000849	3.428794	0.001252	23244681216	23244681216	23244681216	23244681216	23244681216	23244709888	23244709888	23244709888	23244709888	23244709888	23244709888	23244709888	23244709888	23244709888	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
71	2031	1582	36	413	2209	1989	932	246803142	140297666	7018984	0.000368	0.002461	3.358782	0.000536	0.000000	0.001390	0.001190	0.000200	0.000666	3.365341	0.001139	23244709888	23244709888	23244709888	23244709888	23244709888	23244722176	23244722176	23244722176	23244722176	23244722176	23244722176	23244722176	23244722176	23244722176	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
72	932	923	1	8	72	68	25	246803167	140298589	7018985	0.000211	0.001128	3.385682	0.000082	0.000000	0.000192	0.000119	0.000073	0.000482	3.388839	0.001061	23244722176	23244722176	23244722176	23244722176	23244722176	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
73	25	25	0	0	0	0	0	246803167	140298614	7018985	0.000094	0.000104	3.440458	0.000069	0.000000	0.000117	0.000059	0.000057	0.000083	3.442151	0.001226	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23244730368	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448	23827304448
